"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"19/09/2019","6.030","6.015","6.045","6.000","61,99M","-80,03%"
"20/09/2019","5.990","6.050","6.050","5.990","133,43M","-0,66%"
"23/09/2019","6.025","6.030","6.030","6.000","47,23M","0,58%"
"24/09/2019","5.945","5.980","6.000","5.940","79,72M","-1,33%"
"25/09/2019","5.935","5.900","5.935","5.780","88,62M","-0,17%"
"26/09/2019","6.060","6.000","6.060","5.970","109,86M","2,11%"
"27/09/2019","6.070","6.005","6.075","6.000","48,01M","0,17%"
"30/09/2019","6.070","6.070","6.070","6.005","73,39M","0,00%"
"01/10/2019","6.040","6.010","6.065","6.010","40,06M","-0,49%"
"02/10/2019","6.050","6.010","6.070","6.010","52,38M","0,17%"
"03/10/2019","6.040","6.010","6.045","5.950","50,27M","-0,17%"
"04/10/2019","6.045","5.980","6.065","5.980","56,89M","0,08%"
"07/10/2019","6.070","6.070","6.080","6.050","56,71M","0,41%"
"08/10/2019","6.100","6.080","6.100","6.015","47,00M","0,49%"
"09/10/2019","6.070","6.100","6.100","6.050","41,50M","-0,49%"
"10/10/2019","6.110","6.020","6.110","6.020","65,81M","0,66%"
"11/10/2019","6.125","6.080","6.155","6.080","40,86M","0,25%"
"14/10/2019","6.200","6.130","6.200","6.130","37,51M","1,22%"
"15/10/2019","6.175","6.190","6.190","6.145","40,94M","-0,40%"
"16/10/2019","6.215","6.200","6.215","6.175","65,78M","0,65%"
"17/10/2019","6.115","6.185","6.210","6.105","45,67M","-1,61%"
"18/10/2019","6.160","6.160","6.170","6.140","41,01M","0,74%"
"21/10/2019","6.220","6.200","6.255","6.185","59,97M","0,97%"
"22/10/2019","6.300","6.270","6.300","6.225","67,26M","1,29%"
"23/10/2019","6.275","6.300","6.305","6.260","62,22M","-0,40%"
"24/10/2019","6.300","6.290","6.320","6.270","73,10M","0,40%"
"25/10/2019","6.200","6.320","6.325","6.175","61,93M","-1,59%"
"28/10/2019","6.205","6.200","6.250","6.200","43,25M","0,08%"
"29/10/2019","6.220","6.205","6.240","6.150","79,86M","0,24%"
"30/10/2019","6.265","6.280","6.285","6.200","60,74M","0,72%"
"31/10/2019","6.290","6.270","6.300","6.250","58,42M","0,40%"
"01/11/2019","6.325","6.300","6.325","6.275","42,08M","0,56%"
"04/11/2019","6.275","6.350","6.380","6.260","43,79M","-0,79%"
"05/11/2019","6.360","6.350","6.360","6.270","66,16M","1,35%"
"06/11/2019","6.295","6.380","6.380","6.295","63,39M","-1,02%"
"07/11/2019","6.285","6.335","6.335","6.250","61,97M","-0,16%"
"08/11/2019","6.280","6.315","6.315","6.250","90,04M","-0,08%"
"11/11/2019","6.295","6.335","6.340","6.265","70,21M","0,24%"
"12/11/2019","6.265","6.220","6.280","6.220","47,64M","-0,48%"
"13/11/2019","6.280","6.265","6.285","6.265","40,08M","0,24%"
"14/11/2019","6.270","6.265","6.280","6.210","37,86M","-0,16%"
"15/11/2019","6.275","6.280","6.290","6.255","47,14M","0,08%"
"18/11/2019","6.280","6.245","6.285","6.210","65,60M","0,08%"
"19/11/2019","6.315","6.330","6.350","6.300","60,12M","0,56%"
"20/11/2019","6.350","6.255","6.350","6.255","43,23M","0,55%"
"21/11/2019","6.300","6.350","6.350","6.300","57,52M","-0,79%"
"22/11/2019","6.305","6.280","6.310","6.270","56,04M","0,08%"
"25/11/2019","6.275","6.330","6.335","6.275","55,13M","-0,48%"
"26/11/2019","6.285","6.330","6.330","6.270","192,78M","0,16%"
"27/11/2019","6.300","6.270","6.300","6.240","58,83M","0,24%"
"28/11/2019","6.250","6.295","6.295","6.245","44,25M","-0,79%"
"29/11/2019","6.280","6.230","6.295","6.225","52,95M","0,48%"
"02/12/2019","6.425","6.280","6.425","6.270","49,91M","2,31%"
"03/12/2019","6.375","6.420","6.420","6.345","42,82M","-0,78%"
"04/12/2019","6.365","6.360","6.400","6.355","37,55M","-0,16%"
"05/12/2019","6.340","6.360","6.385","6.330","54,17M","-0,39%"
"06/12/2019","6.395","6.340","6.395","6.320","69,92M","0,87%"
"09/12/2019","6.395","6.370","6.395","6.360","51,67M","0,00%"
"10/12/2019","6.365","6.395","6.400","6.360","57,65M","-0,47%"
"11/12/2019","6.380","6.365","6.385","6.350","48,47M","0,24%"
"12/12/2019","6.340","6.400","6.405","6.340","79,20M","-0,63%"
"13/12/2019","6.360","6.395","6.420","6.350","70,82M","0,32%"
"16/12/2019","6.360","6.340","6.395","6.340","78,68M","0,00%"
"17/12/2019","6.500","6.395","6.500","6.365","102,91M","2,20%"
"18/12/2019","6.755","6.500","6.800","6.440","181,80M","3,92%"
"19/12/2019","6.600","6.700","6.720","6.590","74,17M","-2,29%"
"20/12/2019","6.660","6.680","6.740","6.610","99,45M","0,91%"
"23/12/2019","6.660","6.680","6.730","6.650","46,56M","0,00%"
"26/12/2019","6.680","6.660","6.725","6.660","38,19M","0,30%"
"27/12/2019","6.695","6.670","6.700","6.670","29,95M","0,22%"
"30/12/2019","6.685","6.680","6.720","6.670","61,17M","-0,15%"
"02/01/2020","6.690","6.695","6.780","6.680","49,45M","0,07%"
"03/01/2020","6.800","6.750","6.800","6.725","47,76M","1,64%"
"06/01/2020","6.735","6.720","6.750","6.690","27,30M","-0,96%"
"07/01/2020","6.740","6.735","6.770","6.730","45,02M","0,07%"
"08/01/2020","6.680","6.670","6.745","6.670","53,69M","-0,89%"
"09/01/2020","6.740","6.740","6.755","6.730","40,36M","0,90%"
"10/01/2020","6.725","6.765","6.825","6.710","73,36M","-0,22%"
"13/01/2020","6.745","6.740","6.760","6.735","67,86M","0,30%"
"14/01/2020","6.870","6.745","6.885","6.740","93,58M","1,85%"
"15/01/2020","6.835","6.870","7.060","6.800","75,62M","-0,51%"
"16/01/2020","6.850","6.805","6.890","6.795","88,93M","0,22%"
"17/01/2020","6.875","6.840","6.890","6.800","38,25M","0,36%"
"20/01/2020","6.835","6.950","6.975","6.830","93,55M","-0,58%"
"21/01/2020","6.830","6.885","6.895","6.825","103,98M","-0,07%"
"22/01/2020","6.840","6.855","6.895","6.835","94,31M","0,15%"
"23/01/2020","6.840","6.885","6.895","6.830","87,73M","0,00%"
"24/01/2020","6.810","6.820","6.880","6.810","69,65M","-0,44%"
"27/01/2020","6.840","6.865","6.940","6.815","39,68M","0,44%"
"28/01/2020","6.790","6.835","6.845","6.755","82,62M","-0,73%"
"29/01/2020","6.785","6.800","6.845","6.770","43,82M","-0,07%"
"30/01/2020","6.740","6.845","6.845","6.730","71,99M","-0,66%"
"31/01/2020","6.480","6.800","6.805","6.480","163,14M","-3,86%"
